=================Motor Informations=================;;;
Name;RH-457SD-13150;;
Type;DC;;
UMotorMax;24;;
IMotorMax;0,6;;
PMotorMax;100;;
SpeedMax;4000;;
================Scenarios Informations================;;;
U_MIN_TO_U_MAX;0;23,9;0
==============================================;;;
test: Umin =0,0to Umax 23,9;;;
Setting;U [V];v[tr/min];I[A]
Set U = 0,0;0,15;0;0
Set U = 0,96;0,95;0;0,01
Set U = 1,92;1,78;0;0,03
Set U = 2,88;2,8;0;0,03
Set U = 3,84;3,9;0;0,03
Set U = 4,8;4,7;0;0,04
Set U = 5,76;5,68;0;0,04
Set U = 6,72;6,55;0;0,03
Set U = 7,68;7,46;0;0,04
Set U = 8,64;8,67;0;0,04
Set U = 9,6;9,54;0;0,04
Set U = 10,56;10,61;0;0,04
Set U = 11,52;11,48;0;0,05
Set U = 12,48;12,42;0;0,05
Set U = 13,44;13,26;0;0,04
Set U = 14,4;14,28;0;0,05
Set U = 15,36;15,3;0;0,05
Set U = 16,32;16,13;0;0,04
Set U = 17,28;17,2;0;0,05
Set U = 18,24;18,14;0;0,05
Set U = 19,2;19,09;0;0,05
Set U = 20,16;20,07;0;0,05
Set U = 21,12;21,02;0;0,05
Set U = 22,08;21,97;0;0,05
Set U = 23,04;22,91;0;0,05
Set U = 24,0;23,9;0;0,05
============================================================;;;
