=================Motor Informations=================;;;;;;;;;;;;;;;;;;;
Name;RH-457SD-13150;;;;;;;;;;;;;;;;;;
Type;DC;;;;;;;;;;;;;;;;;;
UMotorMax;24;;;;;;;;;;;;;;;;;;
IMotorMax;0,6;;;;;;;;;;;;;;;;;;
PMotorMax;100;;;;;;;;;;;;;;;;;;
SpeedMax;4000;;;;;;;;;;;;;;;;;;
================Scenarios Informations================;;;;;;;;;;;;;;;;;;;
;From;To;cste;;;;;;;;;;;;;;;;
U_MIN_TO_U_MAX;0V;24V;0;;;;;;;;;;;;;;;;
==============================================;;;;;;;;;;;;;;;;;;;
test: Umin =0,0 to Umax 23,9;;;;;;;;;;;;;;;;;;;
Setting;U [V];v[tr/min];I[A];;;;;Ratio;ERREUR;;;;;;;;;;
U0;0,151;0;0,001;1;;;;0;;;;;;;;;;;
Set U = 0,96V;0,985;0;0,02;20;;;;0,974619289;2,538071066;;;;;;;;;;0,96
Set U = 1,92V;1,97;0;0,03;30;;;;0,974619289;2,538071066;;;;;;;;;;1,92
Set U = 2,88V;2,992;0;0,034;34;;;;0,962566845;3,743315508;;;;;;;;;;2,88
Set U = 3,84V;3,825;0;0,038;38;;;;1,003921569;-0,392156863;;;;;;;;;;3,84
Set U = 4,8V;4,886;0;0,039;39;;;;0,98239869;1,760130986;;;;;;;;;;4,8
Set U = 5,76V;5,833;0;0,039;39;;;;0,987484999;1,251500086;;;;;;;;;;5,76
Set U = 6,72V;6,742;0;0,04;40;;;;0,996736873;0,326312667;;;;;;;;;;6,72
Set U = 7,68V;7,689;0;0,041;41;;;;0,998829497;0,117050332;;;;;;;;;;7,68
Set U = 8,64V;8,711;0;0,046;46;;;;0,991849386;0,815061417;;;;;;;;;;8,64
Set U = 9,6V;9,582;0;0,046;46;;;;1,001878522;-0,187852223;;;;;;;;;;9,6
Set U = 10,56V;10,567;0;0,046;46;;;;0,99933756;0,066243967;;;;;;;;;;10,56
Set U = 11,52V;11,59;0;0,047;47;;;;0,993960311;0,603968939;;;;;;;;;;11,52
Set U = 12,48V;12,537;0;0,049;49;;;;0,995453458;0,454654223;;;;;;;;;;12,48
Set U = 13,44V;13,446;0;0,055;55;;;;0,999553771;0,044622936;;;;;;;;;;13,44
Set U = 14,4V;14,506;0;0,055;55;;;;0,992692679;0,730732111;;;;;;;;;;14,4
Set U = 15,36V;15,339;0;0,056;56;;;;1,001369059;-0,136905926;;;;;;;;;;15,36
Set U = 16,32V;16,362;0;0,058;58;;;;0,997433077;0,256692336;;;;;;;;;;16,32
Set U = 17,28V;17,271;0;0,058;58;;;;1,000521105;-0,052110474;;;;;;;;;;17,28
Set U = 18,24V;18,294;0;0,059;59;;;;0,997048213;0,295178747;;;;;;;;;;18,24
Set U = 19,2V;19,241;0;0,062;62;;;;0,997869134;0,213086638;;;;;;;;;;19,2
Set U = 20,16V;20,225;0;0,062;62;;;;0,996786156;0,321384425;;;;;;;;;;20,16
Set U = 21,12V;21,134;0;0,063;63;;;;0,99933756;0,066243967;;;;;;;;;;21,12
Set U = 22,08V;22,081;0;0,064;64;;;;0,999954712;0,00452878;;;;;;;;;;22,08
Set U = 23,04V;23,066;0;0,064;64;;;;0,9988728;0,112720021;;;;;;;;;;23,04
Set U = 24V;24,051;0;0,066;66;;;;0,997879506;0,212049395;;;;;;;;;;24
============================================================;;;;0;;;;;;;;;;;;;;;
