=================Motor Informations=================;;;;;
Name;test tondeuse;;;;
Type;DC;;;;
UMotorMax;15;;;;
IMotorMax;2;;;;
PMotorMax;30;;;;
SpeedMax;300;;;;
================Scenarios Informations================;;;;;
U_MIN_TO_U_MAX;0;14;0;;
U_MIN_TO_U_MAX;0;14;0;;
==============================================;;;;;
test: Umin =0,0to Umax 14,0;;;;;
Setting;U [V];v[tr/min];I[A];Column1;Column2
Set U = 0,0;0,08;0;0;0;0,16
Set U = 0,14;0,08;0;0;0;0,16
Set U = 0,28;0,34;0;0,02;0,0136;0,68
Set U = 0,42;0,53;0;0;0;1,06
Set U = 0,56;0,64;0;0;0;1,28
Set U = 0,7;0,91;0;0;0;1,82
Set U = 0,84;0,95;0;0;0;1,9
Set U = 0,98;1,14;0;0,06;0,1368;2,28
Set U = 1,12;1,29;0;0;0;2,58
Set U = 1,26;1,29;0;0;0;2,58
Set U = 1,4;1,33;0;0,01;0,0266;2,66
Set U = 1,54;1,51;0;0;0;3,02
Set U = 1,68;1,59;0;0;0;3,18
Set U = 1,82;1,74;0;0,01;0,0348;3,48
Set U = 1,96;1,82;0;0,05;0,182;3,64
Set U = 2,1;2,05;0;0,01;0,041;4,1
Set U = 2,24;2,08;0;0;0;4,16
Set U = 2,38;2,27;0;0,06;0,2724;4,54
Set U = 2,52;2,35;0;0,02;0,094;4,7
Set U = 2,66;2,58;0;0,07;0,3612;5,16
Set U = 2,8;2,58;0;0,04;0,2064;5,16
Set U = 2,94;2,69;0;0,02;0,1076;5,38
Set U = 3,08;2,99;0;0,05;0,299;5,98
Set U = 3,22;3,03;0;0,02;0,1212;6,06
Set U = 3,36;3,26;0;0,03;0,1956;6,52
Set U = 3,5;3,3;0;0;0;6,6
Set U = 3,64;3,37;0;0,03;0,2022;6,74
Set U = 3,78;3,56;0;0;0;7,12
Set U = 3,92;3,64;0;0,03;0,2184;7,28
Set U = 4,06;3,67;0;0,02;0,1468;7,34
Set U = 4,2;4,05;0;0,06;0,486;8,1
Set U = 4,34;4,05;0;0,02;0,162;8,1
Set U = 4,48;4,28;0;0,02;0,1712;8,56
Set U = 4,62;4,32;0;0,07;0,6048;8,64
Set U = 4,76;4,47;0;0,05;0,447;8,94
Set U = 4,9;4,54;0;0,02;0,1816;9,08
Set U = 5,04;4,81;0;0,01;0,0962;9,62
Set U = 5,18;4,85;0;0,01;0,097;9,7
Set U = 5,32;4,92;0;0,04;0,3936;9,84
Set U = 5,46;5,08;0;0,02;0,2032;10,16
Set U = 5,6;5,11;0;0,02;0,2044;10,22
Set U = 5,74;5,42;0;0,04;0,4336;10,84
Set U = 5,88;5,49;0;0,03;0,3294;10,98
Set U = 6,02;5,61;0;0,02;0,2244;11,22
Set U = 6,16;5,68;0;0,03;0,3408;11,36
Set U = 6,3;5,87;0;0,02;0,2348;11,74
Set U = 6,44;6,02;0;0,03;0,3612;12,04
Set U = 6,58;6,14;0;0,04;0,4912;12,28
Set U = 6,72;6,33;0;0,02;0,2532;12,66
Set U = 6,86;6,36;0;0,02;0,2544;12,72
Set U = 7,0;6,51;0;0,03;0,3906;13,02
Set U = 7,14;6,67;0;0,01;0,1334;13,34
Set U = 7,28;6,78;0;0,03;0,4068;13,56
Set U = 7,42;6,89;0;0,02;0,2756;13,78
Set U = 7,56;7,12;0;0,04;0,5696;14,24
Set U = 7,7;7,12;0;0,03;0,4272;14,24
Set U = 7,84;7,31;0;0,04;0,5848;14,62
Set U = 7,98;7,46;0;0,04;0,5968;14,92
Set U = 8,12;7,58;0;0,03;0,4548;15,16
Set U = 8,26;7,73;0;0,02;0,3092;15,46
Set U = 8,4;7,8;0;0,04;0,624;15,6
Set U = 8,54;8,03;0;0,04;0,6424;16,06
Set U = 8,68;8,07;0;0,03;0,4842;16,14
Set U = 8,82;8,22;0;0,05;0,822;16,44
Set U = 8,96;8,41;0;0,06;1,0092;16,82
Set U = 9,1;8,48;0;0,03;0,5088;16,96
Set U = 9,24;8,56;0;0,03;0,5136;17,12
Set U = 9,38;8,71;0;0,04;0,6968;17,42
Set U = 9,52;8,86;0;0,03;0,5316;17,72
Set U = 9,66;8,98;0;0,05;0,898;17,96
Set U = 9,8;9,09;0;0,03;0,5454;18,18
Set U = 9,94;9,2;0;0,04;0,736;18,4
Set U = 10,08;9,28;0;0,03;0,5568;18,56
Set U = 10,22;9,39;0;0,04;0,7512;18,78
Set U = 10,36;9,58;0;0,03;0,5748;19,16
Set U = 10,5;9,7;0;0,04;0,776;19,4
Set U = 10,64;9,77;0;0,04;0,7816;19,54
Set U = 10,78;10;0;0,06;1,2;20
Set U = 10,92;10,07;0;0,07;1,4098;20,14
Set U = 11,06;10,19;0;0,06;1,2228;20,38
Set U = 11,2;10,23;0;0,07;1,4322;20,46
Set U = 11,34;10,34;0;0,04;0,8272;20,68
Set U = 11,48;10,38;0;0,05;1,038;20,76
Set U = 11,62;10,49;0;0,06;1,2588;20,98
Set U = 11,76;10,64;0;0,04;0,8512;21,28
Set U = 11,9;10,76;0;0,06;1,2912;21,52
Set U = 12,04;10,87;0;0,04;0,8696;21,74
Set U = 12,18;10,98;0;0,06;1,3176;21,96
Set U = 12,32;11,02;0;0,05;1,102;22,04
Set U = 12,46;11,17;0;0,06;1,3404;22,34
Set U = 12,6;11,32;0;0,07;1,5848;22,64
Set U = 12,74;11,48;0;0,05;1,148;22,96
Set U = 12,88;11,59;0;0,05;1,159;23,18
Set U = 13,02;11,67;0;0,08;1,8672;23,34
============================================================;;;;0;0
