=================Motor Informations=================;;;
Name;test tondeuse;;
Type;DC;;
UMotorMax;15;;
IMotorMax;2;;
PMotorMax;30;;
SpeedMax;300;;
================Scenarios Informations================;;;
U_MIN_TO_U_MAX;0;14;0
U_MIN_TO_U_MAX;0;14;0
==============================================;;;
test: Umin =0,0to Umax 14,0;;;
Setting;Column1;Column2;Column3
Set U = 0,0;0,15;0;0
Set U = 0,14;0,15;0;0
Set U = 0,28;0,3;0;0
Set U = 0,42;0,45;0;0
Set U = 0,56;0,68;0;0
Set U = 0,7;0,76;0;0
Set U = 0,84;0,95;0;0
Set U = 0,98;1,14;0;0
Set U = 1,12;1,33;0;0,01
Set U = 1,26;1,51;0;0
Set U = 1,4;1,55;0;0
Set U = 1,54;1,74;0;0,03
Set U = 1,68;1,82;0;0
Set U = 1,82;1,89;0;0
Set U = 1,96;1,89;0;0
Set U = 2,1;2,01;0;0,02
Set U = 2,24;2,16;0;0
Set U = 2,38;2,35;0;0
Set U = 2,52;2,39;0;0
Set U = 2,66;2,8;0;0,02
Set U = 2,8;2,88;0;0
Set U = 2,94;2,99;0;0,01
Set U = 3,08;3,11;0;0,01
Set U = 3,22;3,18;0;0
Set U = 3,36;3,22;0;0,01
Set U = 3,5;3,3;0;0,01
Set U = 3,64;3,41;0;0,01
Set U = 3,78;3,48;0;0,02
Set U = 3,92;3,64;0;0,02
Set U = 4,06;4,01;0;0,03
Set U = 4,2;4,13;0;0,03
Set U = 4,34;4,24;0;0,02
Set U = 4,48;4,39;0;0,02
Set U = 4,62;4,47;0;0,02
Set U = 4,76;4,7;0;0,01
Set U = 4,9;4,89;0;0,01
Set U = 5,04;4,96;0;0,02
Set U = 5,18;5;0;0,04
Set U = 5,32;5,04;0;0,01
Set U = 5,46;5,04;0;0,01
Set U = 5,6;5,23;0;0,01
Set U = 5,74;5,26;0;0,01
Set U = 5,88;5,45;0;0,01
Set U = 6,02;5,57;0;0,01
Set U = 6,16;5,68;0;0,01
Set U = 6,3;5,87;0;0,02
Set U = 6,44;5,87;0;0,02
Set U = 6,58;6,14;0;0,01
Set U = 6,72;6,25;0;0,02
Set U = 6,86;6,48;0;0,01
Set U = 7,0;6,63;0;0,01
Set U = 7,14;6,78;0;0,01
Set U = 7,28;6,78;0;0,03
Set U = 7,42;6,82;0;0,01
Set U = 7,56;6,93;0;0,01
Set U = 7,7;7,01;0;0,01
Set U = 7,84;7,2;0;0,01
Set U = 7,98;7,35;0;0,02
Set U = 8,12;7,39;0;0,01
Set U = 8,26;7,54;0;0,01
Set U = 8,4;7,58;0;0,01
Set U = 8,54;7,99;0;0,01
Set U = 8,68;8,07;0;0,01
Set U = 8,82;8,11;0;0,01
Set U = 8,96;8,14;0;0,01
Set U = 9,1;8,37;0;0,02
Set U = 9,24;8,52;0;0,01
Set U = 9,38;8,6;0;0,02
Set U = 9,52;8,71;0;0,01
Set U = 9,66;8,94;0;0,01
Set U = 9,8;8,98;0;0,01
Set U = 9,94;9,24;0;0,01
Set U = 10,08;9,43;0;0,01
Set U = 10,22;9,51;0;0,01
Set U = 10,36;9,7;0;0,01
Set U = 10,5;9,77;0;0,02
Set U = 10,64;9,85;0;0,02
Set U = 10,78;10,11;0;0,01
Set U = 10,92;10,19;0;0,02
Set U = 11,06;10,34;0;0,01
Set U = 11,2;10,38;0;0,01
Set U = 11,34;10,49;0;0,01
Set U = 11,48;10,72;0;0,01
Set U = 11,62;10,95;0;0,01
Set U = 11,76;10,95;0;0,01
Set U = 11,9;11,06;0;0,01
Set U = 12,04;11,17;0;0,02
Set U = 12,18;11,29;0;0,01
Set U = 12,32;11,51;0;0,01
Set U = 12,46;11,59;0;0,01
Set U = 12,6;11,82;0;0,02
Set U = 12,74;11,97;0;0,01
Set U = 12,88;12,12;0;0,01
Set U = 13,02;12,2;0;0,01
Set U = 13,16;12,2;0;0,01
Set U = 13,3;12,5;0;0,01
Set U = 13,44;12,5;0;0,01
Set U = 13,58;12,69;0;0,02
Set U = 13,72;12,84;0;0,01
Set U = 13,86;12,88;0;0,01
Set U = 14,0;13,07;0;0,01
============================================================;U [V];v[tr/min];I[A]
test: Umin =0,0to Umax 14,0;;;
Setting;U [V];v[tr/min];I[A]
Set U = 0,0;0,19;0;0
============================================================;;;
